Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
10/31/18,271503,Northeast,TX,El Paso,El Paso County,El Paso,45,101100,0.007976072,0.021212121,0.040123457,,,2007-11,2007-Q4,101400,-0.00295858,2007-10
10/31/18,403223,Elmhurst,NY,New York-Newark-Jersey City,Queens County,New York,46,571500,-0.001921062,0.005453906,0.088156893,,,2018-08,2018-Q3,573100,-0.002791834,2018-08
10/31/18,273527,East,TX,Dallas-Fort Worth-Arlington,Tarrant County,Arlington,47,154900,0.007807417,0.023117569,0.178843227,,,2018-10,2018-Q4,154900,0,2018-10
10/31/18,268236,Koreatown,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,48,622700,0.006465169,0.013509115,0.046730543,,,2018-10,2018-Q4,622700,0,2018-10
10/31/18,276023,Westlake,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,49,653100,0.010052583,0.023828186,0.070129445,,,2018-10,2018-Q4,653100,0,2018-10
10/31/18,275454,South Scottsdale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Scottsdale,50,347400,0.00929692,0.029638411,0.089711418,,,2018-10,2018-Q4,347400,0,2018-10
10/31/18,276215,Blossom Valley,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,51,1023400,0.001076005,-0.001658375,0.14333594,,,2018-07,2018-Q3,1025100,-0.001658375,2018-06
10/31/18,276476,North Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Long Beach,52,459600,0.005469263,0.01010989,0.057280883,,,2006-08,2006-Q3,460300,-0.001520747,2006-07
10/31/18,403131,Sheepshead Bay,NY,New York-Newark-Jersey City,Kings County,New York,53,792200,0.00418304,0.010201479,0.072279372,,,2018-10,2018-Q4,792200,0,2018-10
10/31/18,343217,South Bronx,NY,New York-Newark-Jersey City,Bronx County,New York,54,420200,0.010096154,0.050237441,0.325970338,,,2018-10,2018-Q4,420200,0,2018-10
10/31/18,343205,Soundview,NY,New York-Newark-Jersey City,Bronx County,New York,55,404000,0,0.018915511,0.113868211,,,2018-10,2018-Q4,404000,0,2018-10
10/31/18,118987,Willow Glen,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,56,1372000,0.000437509,0.000364564,0.146581982,,,2018-10,2018-Q4,1372000,0,2018-10
10/31/18,275467,Southeast,TX,Dallas-Fort Worth-Arlington,Tarrant County,Arlington,57,202700,0.006454816,0.015531062,0.090958019,,,2018-10,2018-Q4,202700,0,2018-10
10/31/18,271511,Northwest,TX,El Paso,El Paso County,El Paso,58,204500,0.007885658,0.016907011,0.050333847,,,2018-10,2018-Q4,204500,0,2018-10
10/31/18,193640,Canarsie,NY,New York-Newark-Jersey City,Kings County,New York,59,474300,0.019561479,0.031086957,0.103536529,,,2018-10,2018-Q4,474300,0,2018-10
10/31/18,41466,Van Nuys,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,60,581400,0.00397168,0.021613073,0.073287798,,,2018-10,2018-Q4,581400,0,2018-10
10/31/18,273480,Downtown,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,61,935900,0.004292306,0.016067745,0.198182051,,,2018-10,2018-Q4,935900,0,2018-10
10/31/18,274514,Mid City,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,62,1075600,0.005233645,0.015004246,0.129120302,,,2018-10,2018-Q4,1075600,0,2018-10
10/31/18,269592,Logan Square,IL,Chicago-Naperville-Elgin,Cook County,Chicago,63,347600,0.006660875,0.012820513,0.01429822,,,2018-04,2018-Q2,348600,-0.002868617,2018-03
10/31/18,275090,Preston Hollow,TX,Dallas-Fort Worth-Arlington,Dallas County,Dallas,64,396000,0.004821111,0.009688934,0.047619048,,,2018-10,2018-Q4,396000,0,2018-10
10/31/18,270875,Lower East Side,NY,New York-Newark-Jersey City,New York County,New York,65,996700,-0.01101409,-0.021692187,-0.021596152,,,2018-06,2018-Q2,1021100,-0.023895799,2017-07
10/31/18,273652,Estrella,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,66,203800,0.008411677,0.024120603,0.097469036,,,2006-06,2006-Q2,243000,-0.161316872,2005-07
